rank,year,school,overall,peer_assess,judges_assess,gpa25,gpa75,lsat25,lsat75,pct_emp_grad,pct_emp_9,accept,sf_ratio,bar_pass_pct,pass_rate,mid_gpa,mid_lsat
24,2015,College of William and Mary,63,3.2,3.7,3.46,3.88,161,165,46.6,85.3,29.52641477,11,87.88,77,3.73,164
24,2015,University of Washington,63,3.1,3.6,3.46,3.8,161,165,50.8,79,26.17321633,8.9,94.35,67,3.64,164
26,2015,University of Notre Dame,62,3.4,3.8,3.39,3.75,160,165,60.7,77.6,28.07957154,9.3,93.5,87.34,3.6,163
27,2015,Boston University,61,3.3,3.6,3.44,3.77,161,166,46.9,68.1,34.5113438,12,93.62,83,3.67,165
27,2015,University of Iowa,61,3.2,3.6,3.42,3.72,158,163,56.8,77.3,52.02020202,9.5,95.59,93,3.59,161
29,2015,Indiana University - Bloomington,58,3.2,3.7,3.39,3.9,154,164,40.7,64.7,52.64578834,11.4,87.84,79.43,3.8,162
29,2015,University of Georgia,58,3.1,3.3,3.33,3.81,158,164,48.9,76,33.30210773,11.5,94,83.98,3.69,163
31,2015,Arizona State University,57,3,3.33,3.33,3.71,158,164,59,72.6,39.12225705,9.7,86.39,80.21,3.54,162
31,2015,Ohio State University,57,3.2,3.5,3.49,3.81,157,162,44.1,72.1,45.43650794,11.1,93.46,84.05,3.65,160
31,2015,University of North Carolina - Chapel Hill,57,3.5,3.9,3.28,3.68,159,163,44.9,72.3,44.71380471,11.9,88.46,79.03,3.5,161
31,2015,University of Wisconsin - Madison,57,3.3,3.6,3.21,3.7,156,163,46.8,72.5,44.16722859,11,100,86.19,3.58,161
31,2015,Wake Forest University,57,3.1,3.6,3.26,3.73,157,164,53.8,76.9,45.36360139,11.8,89.33,79.03,3.57,162
36,2015,Boston College,56,3.2,3.7,3.41,3.69,160,165,49.6,71.2,34.91277699,11.9,91.67,83,3.61,164
36,2015,Brigham Young University,56,2.9,3.3,3.45,3.88,158,164,57.8,78.2,35.57377049,13.1,86.08,82,3.77,161
36,2015,Fordham University,56,3.2,3.5,3.32,3.68,161,165,54.5,68.9,37.85277284,14.9,89.4,74,3.52,163
36,2015,University of California - Davis,56,3.4,3.7,3.31,3.65,159,164,45.5,67.8,52.3553719,10.1,78.31,66,3.55,162
40,2015,University of Arizona,55,3.1,3.4,3.31,3.72,155,163,51,75.2,40.30571199,10,91.49,80.21,3.57,160
40,2015,University of Illinois - Urbana-Champaign,55,3.1,3.6,3.26,3.72,157,163,43.7,68.1,45.45025931,11.2,97.71,87.34,3.56,160
42,2015,Southern Methodist University,54,2.6,3.3,3.32,3.82,157,163,50.2,80.2,41,14.2,88.89,82.06,3.64,162
43,2015,University of Colorado - Boulder,52,3,3.2,3.29,3.73,158,164,41.7,64,38.13229572,9.2,88.68,83.85,3.58,162
43,2015,Washington and Lee University,52,3.2,3.7,3.34,3.66,160,165,34.6,56.9,38.10709838,10.7,71.74,77,3.51,164
45,2015,Florida State University,51,2.9,2.9,3.27,3.72,157,161,32.2,77.3,41.93867458,13.1,88.89,79.32,3.51,159
46,2015,George Mason University,50,2.7,3.2,3.17,3.71,157,163,57.3,72.7,35,12.7,87.12,77,3.55,161
46,2015,Tulane University,50,3,3.4,3.12,3.6,156,162,36.8,72.1,45.97093791,14.2,77.78,63,3.39,160
46,2015,University of Maryland,50,2.9,3.1,3.3,3.7,154,162,64.3,68.7,44.06533575,11.4,81.3,78.49,3.53,159
49,2015,University of Florida,49,3.1,3.4,3.31,3.76,156,162,32.4,63.1,50.37945126,13.2,89.54,79.32,3.55,160
49,2015,University of Utah,49,2.8,3.1,3.31,3.68,155,161,50.7,70.9,45.11173184,8.4,83.04,82,3.51,159
51,2015,Baylor University,48,2.4,3.3,3.24,3.68,156,162,28.7,73.2,28.81873727,14,93.46,82.06,3.53,160
51,2015,Pennsylvania State University,48,2.4,3.1,3.28,3.78,154,160,25.3,64.9,53.05039788,8.8,94,81.67,3.58,158
